,0
wasserstein_age,36.69123719702486
tvd_workclass,0.5217499999999999
wasserstein_fnlwgt,180830.47295821598
tvd_education,0.5907500000000001
tvd_marital-status,0.47075
tvd_occupation,0.33649999999999997
tvd_relationship,0.19775000000000004
tvd_race,0.431
tvd_sex,0.12450000000000003
wasserstein_capital-gain,4264.213339719648
wasserstein_capital-loss,651.3413769078771
wasserstein_hours-per-week,16.786572355230877
tvd_native-country,0.8630000000000001
tvd_income,0.45724999999999993
mean_corr_diff,0.04902472889745092
max_corr_diff,0.12116730469174203
pmse,0.24999675688756573
auc,1.0
